name,lat,lon,address,website,contact:website,contact:phone,opening_hours,operator,brand
"Unnamed (-37.8348, 145.2701)",-37.8348233,145.270051,"Elmhurst Road, Bayswater North, Melbourne, City of Maroondah, Victoria, 3153, Australia",,,,,,
"Unnamed (-37.8681, 144.9863)",-37.8680572,144.9863362,"Blessington Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia",,,,,,
Eco Wash,-37.7772361,145.4582276,"Eco Wash, Britton Road, Seville, Melbourne, Shire of Yarra Ranges, Victoria, 3139, Australia",,,,,,
"Unnamed (-37.7876, 145.1465)",-37.7875985,145.1464634,"BP, Doncaster East, Melbourne, City of Manningham, Victoria, 3109, Australia",,,,,,
Top Gear Car Wash,-37.8024143,145.3151015,"595, Mount Dandenong Road, Kilsyth, Melbourne, Shire of Yarra Ranges, Victoria, 3137, Australia",,,,,,
"Unnamed (-37.8114, 145.3368)",-37.8114072,145.3367829,"Mount Dandenong Road, Montrose, Melbourne, Shire of Yarra Ranges, Victoria, 3765, Australia",,,,,,
Fast Fuel Car Wash,-37.7857497,145.3826301,"Fast Fuel Car Wash, Hereford Road Service Road, Mount Evelyn, Melbourne, Shire of Yarra Ranges, Victoria, 3796, Australia",,,,,,
Splash N Dash Car Wash,-37.694035,144.7651621,"Splash N Dash Car Wash, 526, Melton Highway, Sydenham, Melbourne, City of Brimbank, Victoria, 3037, Australia",,,,,,
Carwash X-press,-37.7294371,144.7407596,"Carwash X-press, 6-7, Police Close, Caroline Springs, Melbourne, City of Melton, Victoria, 3023, Australia",,,,,,
Softwash,-37.9277673,145.2346258,"Softwash, Wellington Road Trail, Rowville, Melbourne, City of Knox, Victoria, 3178, Australia",,,,,,
Knox Car Wash & Detail,-37.8828326,145.2737093,"Knox Car Wash & Detail, 1857A, Ferntree Gully Road, Ferntree Gully, Melbourne, City of Knox, Victoria, 3156, Australia",,,,,,
"Unnamed (-37.6942, 144.7559)",-37.6941718,144.7558971,"Cynthia Court, Keilor Gateway, Hillside, Melbourne, City of Brimbank, Victoria, 3037, Australia",,,,,,
"Unnamed (-37.8880, 145.0285)",-37.8879802,145.0285215,"916-920, Glen Huntly Road, Caulfield South, Melbourne, City of Glen Eira, Victoria, 3162, Australia",,,,,,
"Unnamed (-37.6591, 145.0758)",-37.6590888,145.0758192,"Plenty Road, Mill Park, Melbourne, City of Whittlesea, Victoria, 3032, Australia",,,,,,
